mql_id,first_contact_date,landing_page_id,origin,has_contact_date,seller_id,sdr_id,sr_id,won_date,business_segment,lead_type,lead_behaviour_profile,has_company,has_gtin,average_stock,business_type,declared_product_catalog_size,declared_monthly_revenue,converted,seller_city,seller_state,seller_zip_code_prefix,total_revenue,total_orders,total_items_sold,avg_item_price,avg_review_score,days_to_convert,contact_month,won_month,ltv_tier
5420aad7fec3549a85876ba1c529bd84,,b48ec5f3b04e9068441002a19df93c6c,organic_search,0,2c43fb513632d29b3b58df74816f1b06,a8387c01a09e99ce014107505b92388c,4ef15afb4b2723d8f3d81e51ec7afefe,2018-02-26 19:58:54,pet,online_medium,cat,,,,reseller,,0.0,1,belo horizonte,MG,30421.0,858.0,3.0,3.0,286.0,3.6666666666666665,,,2018-02,mid_ltv
327174d3648a2d047e8940d7d15204ca,2018-03-04,1ceb590cd1e00c7ee95220971f82693d,organic_search,1,612170e34b97004b3ba37eae81836b4c,b90f87164b5f8c2cfa5c8572834dbe3f,6565aa9ce3178a5caf6171827af3a9ba,2018-06-05 17:27:23,home_appliances,online_big,cat,,,,reseller,,0.0,1,novo hamburgo,RS,93542.0,23065.02,107.0,110.0,209.682,4.427272727272728,93.0,2018-03,2018-06,high_ltv
ffe640179b554e295c167a2f6be528e0,2017-09-10,a0fbc0263cb98bdb0d72b9f9f283a172,unknown,1,ed8cb7b190ceb6067227478e48cf8dde,4b339f9567d060bcea4f5136b9f5949e,d3d1e91a157ea7f90548eef82f1955e3,2018-07-03 20:17:45,home_appliances,industry,wolf,,,,manufacturer,,0.0,1,santos,SP,11015.0,573.5,15.0,17.0,33.73529411764706,3.176470588235294,296.0,2017-09,2018-07,mid_ltv
b94fba7670eeb44dce2a0d8eb790e9f5,2018-06-02,40dec9f3d5259a3d2dbcdab2114fae47,organic_search,1,1c742ac33582852aaf3bcfbf5893abcf,fdb16d3cbbeb5798f2f66c4096be026d,495d4e95a8cf8bbf8b432b612a2aa328,2018-02-07 18:04:05,health_beauty,online_medium,unclassified,,,,manufacturer,,0.0,1,belo horizonte,MG,30668.0,97.9,1.0,1.0,97.9,5.0,-115.0,2018-06,2018-02,low_ltv
b02c89251106e1fdd9d92744be9f94f2,,b76ef37428e6799c421989521c0e5077,unknown,0,44ed138eca6214d572ce1d813fb0049b,34d40cdaf94010a1d05b0d6212f9e909,4ef15afb4b2723d8f3d81e51ec7afefe,2018-04-17 17:01:57,health_beauty,offline,cat,,,,manufacturer,,0.0,1,canoas,RS,92010.0,129.79,2.0,3.0,43.26333333333333,4.666666666666667,,,2018-04,low_ltv
0173e8d8b1d94a355b440fb67388f532,,007f9098284a86ee80ddeb25d53e0af8,paid_search,0,87d73636a3acf123e842bb890a4db036,9d12ef1a7eca3ec58c545c678af7869c,9e4d1098a3b0f5da39b0bc48f9876645,2018-04-24 03:00:00,household_utilities,online_medium,eagle,,,,manufacturer,,0.0,1,nhandeara,SP,15190.0,269.9,1.0,1.0,269.9,5.0,,,2018-04,mid_ltv
408a9c4a79800232ac656249af3162eb,,b6885f18d203a61176418c1fb3764815,paid_search,0,b566ab0ef88016e00422755e305103c6,de63de0d10a6012430098db33c679b0b,d3d1e91a157ea7f90548eef82f1955e3,2018-02-23 13:54:40,construction_tools_house_garden,online_big,cat,,,,reseller,,0.0,1,extrema,MG,37640.0,1208.0,5.0,5.0,241.6,3.2,,,2018-02,mid_ltv
c556184b3fe2087834850b68fa435cee,,22c29808c4f815213303f8933030604c,direct_traffic,0,2d2322d842118867781fc737e96d59a1,09285259593c61296eef10c734121d5b,2695de1affa7750089c0455f8ce27021,2018-05-22 13:24:08,household_utilities,online_medium,cat,,,,reseller,,0.0,1,sao paulo,SP,5879.0,176.4,8.0,10.0,17.64,4.9,,,2018-05,low_ltv
ab11f58a6bf7036a656364b0ba68fb74,2018-05-04,1ceb590cd1e00c7ee95220971f82693d,paid_search,1,9e7c5f4d7770eab65738cca38f9efccf,068066e24f0c643eb1d089c7dd20cd73,de63de0d10a6012430098db33c679b0b,2018-04-10 03:00:00,sports_leisure,online_medium,cat,,,,reseller,,0.0,1,sao paulo,SP,2562.0,184.8,2.0,2.0,92.4,3.5,-24.0,2018-05,2018-04,mid_ltv
450b97a48568c3118ff397f73abe4e4a,2018-03-04,2f08471dfb83baef522f952438a36f6e,referral,1,df91910b6a03bb2e3358fa6a35e32f6f,09285259593c61296eef10c734121d5b,060c0a26f19f4d66b42e0d8796688490,2018-04-10 19:21:54,food_drink,online_medium,cat,,,,manufacturer,,0.0,1,sao paulo,SP,9560.0,2312.1,14.0,14.0,165.15,4.357142857142857,37.0,2018-03,2018-04,high_ltv
ed3d878bf23177e7075ce07578841047,2018-09-05,22c29808c4f815213303f8933030604c,organic_search,1,249f0e9905a6e06ad6c6bea7547ab9f6,9d12ef1a7eca3ec58c545c678af7869c,fbf4aef3f6915dc0c3c97d6812522f6a,2018-05-11 19:03:19,home_decor,online_medium,cat,,,,manufacturer,,0.0,1,rio de janeiro,RJ,20950.0,347.95,3.0,3.0,115.98333333333332,3.6666666666666665,-117.0,2018-09,2018-05,mid_ltv
