seller_id,origin,business_segment,lead_type,business_type,recency,frequency,monetary,avg_review_score,days_to_convert,R_score,F_score,M_score,RFM_score,rfm_segment,cluster,cluster_label
fcdd820084f17e9982427971e4e9d47f,unknown,household_utilities,online_big,manufacturer,173,16.0,4783.99,3.259259259259259,13.0,1,4,4,9,loyal,3,high_value
ba143b05f0110f0dc71ad71b4466ce92,paid_search,books,online_big,reseller,112,85.0,6110.58,4.423529411764706,-81.0,3,4,4,11,champions,3,high_value
ade45994b717ccee333492330fbf037b,social,audio_video_electronics,online_big,reseller,147,10.0,7196.0,4.5,-111.0,2,3,4,9,loyal,3,high_value
cc63f0dd2acba93ffed4fe9f8e0321fa,social,home_office_furniture,online_beginner,reseller,106,55.0,7096.71,4.047619047619048,-81.0,3,4,4,11,champions,3,high_value
3ab971ce71839580d2ae5b4e40fe8044,organic_search,home_decor,online_big,reseller,103,36.0,5002.900000000001,3.888888888888889,23.0,3,4,4,11,champions,3,high_value
02f623a8eb246f3c5f7c2f96462654e6,organic_search,sports_leisure,online_medium,reseller,111,44.0,6378.0,4.558139534883721,-81.0,3,4,4,11,champions,3,high_value
58f1a6197ed863543e0136bdedb3fce2,paid_search,fashion_accessories,online_medium,reseller,161,44.0,6833.0,4.155555555555556,-81.0,2,4,4,10,champions,3,high_value
65febd49fd28ec955651299159b1f527,organic_search,household_utilities,online_big,reseller,141,35.0,4319.7,4.225,-137.0,2,4,4,10,champions,3,high_value
dbdd0ec73a4817971d962698f2fea022,direct_traffic,health_beauty,online_big,manufacturer,187,16.0,6384.0,4.375,-81.0,1,4,4,9,loyal,3,high_value
4d0041cdbe51b4617d95c70b19decc74,organic_search,car_accessories,industry,reseller,109,8.0,5235.200000000001,4.5,-81.0,3,3,4,10,champions,3,high_value
138dbe45fc62f1e244378131a6801526,paid_search,household_utilities,online_medium,reseller,104,49.0,1125.56,3.9827586206896552,-81.0,3,4,3,10,champions,3,high_value
a63bfbaa882c8f4542891b4e2246cc7f,referral,health_beauty,online_big,reseller,76,7.0,6772.0,4.428571428571429,-81.0,4,3,4,11,champions,3,high_value
0873d9f8f36123f8d910f4760e788cfb,unknown,audio_video_electronics,online_medium,reseller,134,6.0,7265.59,3.1666666666666665,-81.0,2,3,4,9,loyal,3,high_value
4bfc7a4a1cf8d4d2121c27422d9e50b5,paid_search,home_decor,online_big,reseller,153,26.0,8124.4,4.225,-81.0,2,4,4,10,champions,3,high_value
8a432f4e5b471f8da497d7dc517666e2,organic_search,bed_bath_table,online_big,reseller,148,95.0,7555.0,4.201923076923077,-81.0,2,4,4,10,champions,3,high_value
d9a84e1403de8da0c3aa531d6d108ba6,organic_search,toys,online_medium,reseller,190,54.0,1425.2,4.559322033898305,-81.0,1,4,4,9,loyal,3,high_value
42fa4ee7240e9b8eb4576358ec142ba7,unknown,household_utilities,online_medium,reseller,191,22.0,3845.7,4.809523809523809,-81.0,1,4,4,9,loyal,3,high_value
850913d59ce317156b00f3705f1c3edb,paid_search,phone_mobile,online_medium,reseller,180,32.0,2690.0,3.3529411764705883,-114.0,1,4,4,9,loyal,3,high_value
5670f4db5b62c43d542e1b2d56b0cf7c,paid_search,health_beauty,online_big,reseller,134,22.0,6630.09,4.409090909090909,-81.0,2,4,4,10,champions,3,high_value
4c18691b6037662be2df78a765d98ab5,unknown,household_utilities,online_small,reseller,198,63.0,3195.52,3.835820895522388,-81.0,1,4,4,9,loyal,3,high_value
1fe5540d7c1c37a595fefbacd5570d9e,paid_search,computers,online_medium,reseller,18,20.0,4537.6,4.28,-81.0,4,4,4,12,champions,3,high_value
516e7738bd8f735ac19a010ee5450d8d,paid_search,health_beauty,online_small,reseller,92,76.0,6643.09,4.547619047619048,92.0,4,4,4,12,champions,3,high_value
594f9aaa48e5bf431f011ddc5669b0d5,paid_search,bags_backpacks,online_medium,reseller,123,37.0,3248.8,4.578947368421052,33.0,3,4,4,11,champions,3,high_value
6b90f847357d8981edd79a1eb1bf0acb,organic_search,construction_tools_house_garden,online_medium,reseller,82,45.0,3322.08,4.375,-81.0,4,4,4,12,champions,3,high_value
382229d1e840115ffe3dbf5ff460e417,organic_search,household_utilities,online_big,reseller,133,46.0,4096.96,4.26530612244898,-81.0,2,4,4,10,champions,3,high_value
dfa0c4c6229ab200a4a1336b4d7128ff,paid_search,home_decor,online_medium,reseller,109,77.0,4777.1,4.011627906976744,-167.0,3,4,4,11,champions,3,high_value
968268a686aa05d1f529fb07dff08130,referral,stationery,online_big,reseller,197,12.0,4677.29,3.5,-81.0,1,4,4,9,loyal,3,high_value
271c58a1d139c45eaf3316107c6d3a3b,organic_search,bags_backpacks,online_beginner,reseller,118,29.0,3897.52,4.068965517241379,-81.0,3,4,4,11,champions,3,high_value
d566c37fa119d5e66c4e9052e83ee4ea,organic_search,sports_leisure,online_big,reseller,161,65.0,5145.7,4.71830985915493,-81.0,2,4,4,10,champions,3,high_value
6b3bd31ad8fcda4b2635ec9f3ff2ecdf,paid_search,food_supplement,online_small,reseller,147,36.0,4198.9,3.86046511627907,-81.0,2,4,4,10,champions,3,high_value
8476243f92442881ddd5b578975cf115,unknown,audio_video_electronics,online_big,reseller,212,12.0,7838.0,4.083333333333333,-83.0,1,4,4,9,loyal,3,high_value
1a932caad4f9d804097d7f8e615baed1,unknown,construction_tools_house_garden,industry,reseller,169,20.0,4661.0,3.566666666666667,-81.0,1,4,4,9,loyal,3,high_value
f46490624488d3ff7ce78613913a7711,other,health_beauty,online_big,reseller,83,83.0,5802.85,3.4615384615384617,42.0,4,4,4,12,champions,3,high_value
33dd941c27854f7625b968cc6195a552,email,household_utilities,online_medium,reseller,132,5.0,6787.5,4.4,-81.0,2,3,4,9,loyal,3,high_value
